a,b,c,d,e,f,g,h,label
-1,-9,7,0,-1,-1,0,-6,finger5
4,-24,-7,0,-1,0,0,-2,finger5
21,61,6,2,-1,0,-1,-7,finger5
3,8,17,-2,-1,0,1,-2,finger5
-4,-3,4,4,2,1,2,-1,finger5
8,10,16,1,-1,-1,1,-22,finger5
3,25,9,-1,1,-1,0,0,finger5
-6,9,-3,-4,-2,-2,-2,-5,finger5
-7,-10,22,-7,-2,0,-1,-5,finger5
1,-4,-9,-5,-3,-3,-1,-2,finger5
-2,-27,-7,1,0,-1,0,-2,finger5
1,5,3,1,-1,1,1,-2,finger5
0,-4,-7,-2,-1,-1,0,-3,finger5
1,4,-7,-3,-3,0,0,-3,finger5
0,11,-3,0,-1,-1,1,3,finger5
-1,-3,-14,-5,-2,-3,-2,-2,finger5
-3,-55,9,-1,-1,-2,-1,0,finger5
-2,23,3,1,3,-1,2,0,finger5
-4,-24,-20,-2,-3,-2,-2,1,finger5
5,-20,3,3,2,1,1,4,finger5
-3,5,13,0,0,-1,0,-7,finger5
-9,-13,-5,1,0,0,0,-7,finger5
2,1,8,1,0,-1,0,-2,finger5
3,8,10,-1,0,0,1,0,finger5
3,12,-1,-2,-1,0,-1,-3,finger5
-17,-23,20,-6,-1,-1,0,-2,finger5
16,-1,0,1,-1,0,0,1,finger5
-7,16,29,-6,-2,-1,0,-2,finger5
-8,-17,-28,0,-2,-1,3,-1,finger5
-16,14,73,6,2,3,4,-1,finger5
10,-11,-51,-5,-3,-3,-2,1,finger5
9,-39,-46,-7,-3,-2,-1,23,finger5
-3,13,21,3,-2,-1,0,-4,finger5
14,-7,27,1,-1,1,8,3,finger5
-3,-6,14,-3,-1,-1,-1,-19,finger5
-2,-9,-2,-1,-2,-2,-1,2,finger5
-10,-10,7,2,-2,2,2,-6,finger5
-4,12,-3,2,1,-2,1,0,finger5
-2,7,19,1,-1,-2,1,2,finger5
5,-4,-8,-1,-1,-1,1,0,finger5
-4,-44,4,1,0,-1,1,-7,finger5
0,4,-3,-2,1,0,1,-2,finger5
-14,-3,9,-3,-3,-1,0,-17,finger5
-6,-11,3,1,-1,0,0,-2,finger5
-3,11,-4,-3,-4,-4,0,-1,finger5
-2,-2,-10,-4,-1,-2,-1,-2,finger5
2,-28,-5,-2,0,0,0,1,finger5
16,-20,-24,-9,-3,-1,0,-1,finger5
-5,-21,-4,-7,-4,-3,-2,-8,finger5
-6,-12,7,2,-2,0,0,-1,finger5
7,3,-20,-4,-2,-3,-1,16,finger5
10,8,16,3,-1,1,1,-3,finger5
-4,-12,4,6,2,1,3,-1,finger5
0,-2,12,1,2,0,1,1,finger5
-4,-2,1,0,0,1,-1,-4,finger5
-1,-6,-9,-4,-3,-2,0,-2,finger5
-4,22,1,0,0,0,-1,-2,finger5
-3,-1,-1,-1,-2,-1,1,-7,finger5
0,26,0,-2,-4,-1,1,-2,finger5
-8,-6,-26,-4,0,-1,-15,-13,finger5
4,-43,52,-2,-2,0,3,-11,finger5
-9,19,-20,1,-2,0,-4,-9,finger5
6,10,-14,-1,1,2,3,4,finger5
-21,-18,-98,-14,-3,0,7,-11,finger5
36,5,31,-8,-2,-2,-5,-4,finger5
-5,2,45,-3,0,-1,-1,-15,finger5
1,7,-4,2,0,0,2,3,finger5
3,-57,-19,0,-1,0,-1,3,finger5
6,28,5,4,2,1,1,-8,finger5
4,-1,29,2,-1,-2,-5,14,finger5
-1,5,0,-1,-3,0,0,-5,finger5
-12,-58,-20,-3,-2,-2,-1,-2,finger5
1,-12,-12,-1,-1,-1,0,-3,finger5
0,-3,0,-2,-1,-1,1,2,finger5
-3,18,-7,-1,0,0,1,0,finger5
-6,-4,5,-2,-1,-2,-1,-3,finger5
7,-9,3,3,-1,0,-1,-2,finger5
1,16,10,-3,0,0,0,-3,finger5
4,26,13,0,-1,-1,0,-2,finger5
-2,-22,6,3,-1,-2,1,0,finger5
-2,-6,-3,-3,-2,-1,-1,-2,finger5
-1,-5,6,1,-2,-3,-1,-10,finger5
-1,-1,-1,4,-1,-1,1,2,finger5
-3,6,7,-3,-2,-1,0,-3,finger5
-3,-40,12,0,0,0,2,0,finger5
0,-2,-3,-1,2,0,0,1,finger5
2,41,14,0,-3,0,1,-5,finger5
1,11,4,3,0,0,0,-1,finger5
-6,13,15,1,0,1,2,0,finger5
-8,0,-10,0,4,0,2,-1,finger5
-3,23,9,3,2,1,2,0,finger5
2,21,4,1,1,0,-1,-8,finger5
-8,-1,45,-7,-5,-2,-1,0,finger5
-13,31,-11,3,-2,-2,0,0,finger5
-22,10,-54,-1,0,0,16,-2,finger5
4,-41,68,7,1,-1,5,7,finger5
-20,-67,6,-5,-3,-5,-11,-21,finger5
0,77,17,11,4,3,-5,5,finger5
5,-20,-14,-3,-2,-2,-2,-2,finger5
-13,-2,12,-1,-2,0,-1,-4,finger5
20,-35,-11,-4,-2,0,-5,-1,finger5
1,6,7,-4,-3,-1,3,0,finger5
-4,-22,11,7,3,1,0,4,finger5
-14,-10,-8,-11,-5,-4,-2,-3,finger5
24,-28,-18,0,2,-1,-2,-5,finger5
-8,-6,15,-1,-3,-2,-1,-2,finger5
-2,-14,-8,-2,-1,-2,1,-3,finger5
-1,-5,-1,2,1,1,2,-2,finger5
8,14,27,7,2,2,1,-3,finger5
0,21,12,-4,-2,-4,-1,-3,finger5
-13,14,25,0,1,1,1,-1,finger5
-3,-9,-13,-2,0,-1,0,-16,finger5
-4,-10,-15,-3,-2,-1,-1,-1,finger5
1,-2,-21,-6,-2,-2,1,-5,finger5
-14,3,-16,2,0,0,-1,-5,finger5
-2,20,-1,1,-1,-1,0,-1,finger5
4,-12,-4,3,2,1,2,-1,finger5
12,-17,-20,0,0,0,2,-2,finger5
0,20,19,3,1,1,1,5,finger5
6,0,9,0,0,1,1,-1,finger5
