a,b,c,d,e,f,g,h,label
-4,-14,1,-5,-1,0,-2,-5,rest
4,4,28,-1,0,0,1,-2,rest
3,0,-2,0,0,0,0,-4,rest
3,10,6,2,-2,0,-1,-3,rest
1,1,-1,0,0,0,2,-3,rest
-5,-9,-10,1,-2,-1,-1,-5,rest
-10,-2,18,-1,-3,0,0,-4,rest
3,-3,-17,-1,-1,-1,1,1,rest
-3,-6,22,5,3,1,2,-1,rest
-3,-9,-31,-5,-3,-3,-2,-6,rest
-9,-8,2,1,0,1,1,-4,rest
1,0,-44,-3,0,-2,-1,-2,rest
-5,-2,1,-1,-2,-1,0,-1,rest
-2,-8,6,-6,-2,-1,0,-5,rest
3,14,8,-2,-2,0,0,-3,rest
-8,0,29,2,1,0,-1,-8,rest
1,-2,-3,-1,-1,0,1,13,rest
0,-4,-3,0,0,1,3,-5,rest
0,1,3,3,2,0,1,0,rest
6,5,-13,-1,-3,-1,1,0,rest
-4,-11,16,-1,-2,-1,-1,-7,rest
-8,-22,-24,-7,-4,-1,-1,-2,rest
3,5,13,-1,-1,-2,0,4,rest
0,-8,-6,-2,-1,0,0,-2,rest
-3,-3,-29,-1,0,0,0,-2,rest
1,5,-1,-3,0,-1,1,0,rest
3,3,-6,-4,-3,-3,-1,-3,rest
-2,-5,21,1,1,0,2,-1,rest
-8,-4,-14,-2,-4,-2,0,0,rest
-3,-9,-13,-2,0,-1,1,-3,rest
1,-7,7,4,0,-2,1,0,rest
1,0,1,-1,-3,-1,1,-1,rest
-3,-7,-16,0,1,-2,1,0,rest
6,6,0,1,0,-1,1,1,rest
-1,3,5,1,0,0,1,0,rest
0,12,9,1,0,0,1,-3,rest
-4,-21,-16,-5,-4,-1,-1,-3,rest
-2,1,-7,0,-1,-1,-1,2,rest
0,-5,11,-1,-1,0,0,-2,rest
7,7,-18,0,-2,-1,1,1,rest
3,1,22,2,-1,0,1,15,rest
2,10,5,6,1,1,2,-3,rest
6,5,-29,0,-2,0,0,-2,rest
-8,-13,9,-3,-2,-1,-1,-4,rest
-5,-9,-9,0,-1,-1,0,0,rest
-3,-7,-4,-5,-3,-1,0,-2,rest
2,-4,-9,-3,-1,0,1,-1,rest
-1,0,-16,2,2,0,0,-2,rest
3,-5,-4,-1,-2,-3,0,2,rest
4,4,4,0,-1,0,1,4,rest
-1,1,5,4,0,-1,0,-5,rest
3,11,31,2,-2,-2,0,-3,rest
-2,-1,-6,-3,-1,1,1,0,rest
3,2,5,-3,-1,0,1,1,rest
-13,4,15,1,0,-1,-2,-10,rest
4,5,9,2,-1,-1,-1,2,rest
7,-2,-34,-9,-1,-2,0,1,rest
-1,-3,-1,-2,-3,-1,-1,1,rest
1,-6,-1,0,-1,-1,-1,-2,rest
-1,-3,6,-3,-4,-1,0,-4,rest
0,-5,-8,-5,-2,-1,1,-1,rest
1,0,1,1,-2,-1,0,4,rest
-1,2,-7,-2,0,-1,0,-2,rest
3,6,-5,5,2,2,3,5,rest
-3,1,-6,-3,-2,-1,1,-19,rest
-3,-7,-4,-2,1,2,0,-1,rest
0,1,2,2,1,1,1,-1,rest
